,location,country,notes,latitude,longitude,altitude,timezone,training_start,training_end,training_years
san_agustin,"Plains of San Agustín, New Mexico",USA,VLA,34.079,-107.618,2120.0,America/Denver,2000-01-01,2019-12-31,20.0
san_antonio,San Antonio de los Cobres,Argentina,"LLAMA, QUBIC",-24.192,-66.475,4820.0,America/Argentina/Jujuy,2010-01-01,2019-12-31,10.0
barrow,"Point Barrow, Alaska",USA,GML,71.323,-156.611,11.0,America/Anchorage,2000-01-01,2019-12-31,20.0
san_basilio,"San Basilio, Sardinia",Italy,"SRT, MISTRAL",39.493,9.245,600.0,Europe/Rome,1940-01-01,2019-12-31,80.0
boolardy,"Boolardy, Western Australia",Australia,"MRO, SKA",-26.697,116.631,395.0,Australia/Perth,2000-01-01,2019-12-31,20.0
boulder,"Boulder, Colorado",USA,GML,40.009,-105.267,1621.0,America/Denver,2010-01-01,2019-12-31,10.0
cambridge,"Cambridge, Massachusetts",USA,"Harvard University, MIT",42.374,-71.111,8.0,America/New_York,2000-01-01,2019-12-31,20.0
chajnantor,"Llano de Chajnantor, Antofagasta",Chile,"ACT, ALMA, APEX, SO, TAO",-23.006,-67.759,5040.0,America/Santiago,1940-01-01,2019-12-31,80.0
chiang_mai,"Chiang Mai, Thailand",Thailand,TNRT,18.864,99.217,395.0,Asia/Bangkok,2010-01-01,2019-12-31,10.0
daejeon,"Daejeon, South Korea",South Korea,TRAO,36.398,127.375,104.0,Asia/Seoul,2010-01-01,2019-12-31,10.0
effelsberg,"Effelsberg, North Rhine-Westphalia",Germany,ERT,50.524,6.883,319.0,Europe/Berlin,2000-01-01,2019-12-31,20.0
mount_gargash,"Mount Gargash, Isfahan",Iran,INO,33.674,51.319,3570.0,Asia/Tehran,2010-01-01,2019-12-31,10.0
sao_giao,"São Gião, Coimbra",Portugal,SGRT,40.33,-7.813,704.0,Europe/Lisbon,2010-01-01,2019-12-31,10.0
mount_graham,"Mount Graham, Arizona",USA,"LBT, VATT",32.702,-109.89,3178.0,America/Phoenix,2010-01-01,2019-12-31,10.0
green_bank,"Green Bank, West Virginia",USA,Green Bank Observatory,38.433,-79.84,807.0,America/New_York,1940-01-01,2019-12-31,80.0
hanle,"Hanle, Ladakh",India,Indian Astronomical Observatory,32.78,78.963,4450.0,Asia/Kolkata,2010-01-01,2019-12-31,10.0
jodrell_bank,"Jodrell Bank, Cheshire",UK,Jodrell Bank Observatory,53.236,-2.307,77.0,Europe/London,2010-01-01,2019-12-31,10.0
kitt_peak,"Kitt Peak, Arizona",USA,Kitt Peak Observatory,31.965,-111.599,2096.0,America/Phoenix,2010-01-01,2019-12-31,10.0
la_silla,"La Silla, Coquimbo",Chile,La Silla Observatory,-29.258,-70.737,2400.0,America/Santiago,2010-01-01,2019-12-31,10.0
mauna_kea,"Mauna Kea, Hawaii",USA,Mauna Kea Observatory,19.823,-155.475,4205.0,Pacific/Honolulu,1940-01-01,2019-12-31,80.0
meerkat,"Meerkat National Park, Northern Cape",South Africa,"HERA, MeerKAT, SKA",-30.713,21.443,1075.0,Africa/Johannesburg,1980-01-01,2019-12-31,40.0
metsahovi,"Metsähovi, Kirkkonummi",Finland,Metsähovi Radio Observatory,60.218,24.394,90.0,Europe/Helsinki,2010-01-01,2019-12-31,10.0
minamimaki,"Minamimaki, Nagano",Japan,Nobeyama Observatory,35.942,138.476,1350.0,Asia/Tokyo,2010-01-01,2019-12-31,10.0
narrabri,"Narrabri, New South Wales",Australia,ATCA,-30.314,149.562,237.0,Australia/Sydney,2000-01-01,2019-12-31,20.0
ngari,"Ngari Prefecture, Tibet",China,AliCPT,32.326,80.026,5176.0,Asia/Shanghai,2000-01-01,2019-12-31,20.0
owens_valley,"Owens Valley, California",USA,Owens Valley Radio Observatory,37.232,-118.295,1222.0,America/Los_Angeles,2000-01-01,2019-12-31,20.0
cerro_pachon,"Cerro Pachón, Coquimbo",Chile,"Gemini, LSST, SOAR",-30.244,-70.74,2663.0,America/Santiago,2000-01-01,2019-12-31,20.0
cerro_paranal,"Cerro Paranal, Antofagasta",Chile,VLT,-24.628,-70.405,2635.0,America/Santiago,2000-01-01,2019-12-31,20.0
pic_de_bure,"Plateau de Bure, Haute-Alpes",France,NOEMA,44.634,5.908,2552.0,Europe/Paris,2000-01-01,2019-12-31,20.0
princeton,"Princeton, New Jersey",USA,Princeton University,40.345,-74.651,58.0,America/New_York,1940-01-01,2019-12-31,80.0
qitai,"Qitai, Xinjiang",China,QTT,43.601,89.699,1780.0,Asia/Urumqi,2000-01-01,2019-12-31,20.0
ridge_a,Ridge A,Antarctica,Best observing site on earth,-81.5,73.5,4053.0,Antarctica/South_Pole,2000-01-01,2019-12-31,20.0
sierra_negra,"Sierra Negra, Puebla",Mexico,"HAWC, LMT",18.986,-97.314,4640.0,America/Mexico_City,2000-01-01,2019-12-31,20.0
south_pole,South Pole,Antarctica,"BICEP2, DASI, GML, Keck, SPT",-90.0,0.0,2835.0,Antarctica/South_Pole,1940-01-01,2019-12-31,80.0
summit_camp,"Summit Station, Greenland",Greenland,Greenland Telescope,72.583,-38.455,3202.0,America/Nuuk,1940-01-01,2019-12-31,80.0
teide,"Mount Teide, Tenerife",Spain,Teide Observatory,28.301,-16.511,2390.0,Atlantic/Canary,1980-01-01,2019-12-31,40.0
pico_veleta,"Pico Veleta, Granada",Spain,IRAM,37.066,-3.393,2850.0,Europe/Madrid,2000-01-01,2019-12-31,20.0
